Embedding Type,Round,Task,Hidden Layer Sizes,Epochs,Batch Size,Learning Rate,pair,Baseline,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,accuracy
Multimodal-X,Round 1,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair23,Baseline,0.0696853741496598,0.1006944444444444,0.0693716675859533,0.1931818181818181,0.1931818181818181,0.1931818181818181,0.1931818181818181
Multimodal-X,Round 2,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair23,Baseline,0.0976808176100628,0.1513027852650494,0.1085123517445092,0.203883495145631,0.203883495145631,0.203883495145631,0.203883495145631
Multimodal-X,Round 3,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair23,Baseline,0.1011299435028248,0.1268618387262454,0.0996121970904939,0.2111111111111111,0.2111111111111111,0.2111111111111111,0.2111111111111111
Multimodal-X,Round 4,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair23,Baseline,0.0916666666666666,0.1633333333333333,0.1112727272727272,0.2142857142857142,0.2142857142857142,0.2142857142857142,0.2142857142857142
Multimodal-X,Round 5,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair23,Baseline,0.0868197278911564,0.1751700680272108,0.1109815354713314,0.2615384615384615,0.2615384615384615,0.2615384615384615,0.2615384615384615
Multimodal-X,Round 6,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair23,Baseline,0.0911458333333333,0.0951388888888888,0.0866071428571428,0.1764705882352941,0.1764705882352941,0.1764705882352941,0.1764705882352941
Multimodal-X,Round 1,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair24,Baseline,0.1100989653621232,0.0962555962555962,0.0789648622981956,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.1428571428571428
Multimodal-X,Round 2,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair24,Baseline,0.0493827160493827,0.0246913580246913,0.0308641975308641,0.05,0.05,0.05,0.05
Multimodal-X,Round 3,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair24,Baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Multimodal-X,Round 4,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair24,Baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Multimodal-X,Round 1,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair04,Dialogue-Specific,0.0521143941447546,0.0852360005585812,0.0579119718489952,0.1546391752577319,0.1546391752577319,0.1546391752577319,0.1546391752577319
Multimodal-X,Round 2,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair04,Dialogue-Specific,0.0997527972937809,0.1125212585034013,0.0835072665429808,0.15625,0.15625,0.15625,0.15625
Multimodal-X,Round 3,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair04,Dialogue-Specific,0.0686307519640853,0.1086419753086419,0.0749956772832589,0.1818181818181818,0.1818181818181818,0.1818181818181818,0.1818181818181818
Multimodal-X,Round 4,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair04,Dialogue-Specific,0.1292517006802721,0.1580357142857142,0.1313945578231292,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.3076923076923077
Multimodal-X,Round 5,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair04,Dialogue-Specific,0.0633680555555555,0.0997685185185185,0.072516835016835,0.1685393258426966,0.1685393258426966,0.1685393258426966,0.1685393258426966
Multimodal-X,Round 6,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair04,Dialogue-Specific,0.0456487956487956,0.1196581196581196,0.0650578179989944,0.1969696969696969,0.1969696969696969,0.1969696969696969,0.1969696969696969
Multimodal-X,Round 1,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair05,Dialogue-Specific,0.0144927536231884,0.0434782608695652,0.0217391304347826,0.0416666666666666,0.0416666666666666,0.0416666666666666,0.0416666666666666
Multimodal-X,Round 2,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair05,Dialogue-Specific,0.0285714285714285,0.0285714285714285,0.0285714285714285,0.0555555555555555,0.0555555555555555,0.0555555555555555,0.0555555555555555
Multimodal-X,Round 3,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair05,Dialogue-Specific,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Multimodal-X,Round 4,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair05,Dialogue-Specific,0.0333333333333333,0.1,0.05,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.1428571428571428
Multimodal-X,Round 5,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair05,Dialogue-Specific,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Multimodal-X,Round 6,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair05,Dialogue-Specific,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Multimodal-X,Round 1,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair07,Dialogue-Specific,0.0569444444444444,0.0520833333333333,0.0465686274509803,0.0631578947368421,0.0631578947368421,0.0631578947368421,0.0631578947368421
Multimodal-X,Round 2,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair07,Dialogue-Specific,0.0827777777777777,0.1375,0.0925,0.1395348837209302,0.1395348837209302,0.1395348837209302,0.1395348837209302
Multimodal-X,Round 3,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair07,Dialogue-Specific,0.1739130434782608,0.1521739130434782,0.1594202898550724,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666
Multimodal-X,Round 4,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair07,Dialogue-Specific,0.0909090909090909,0.1363636363636363,0.106060606060606,0.2105263157894736,0.2105263157894736,0.2105263157894736,0.2105263157894736
Multimodal-X,Round 5,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair07,Dialogue-Specific,0.1833333333333333,0.225,0.195,0.3125,0.3125,0.3125,0.3125
Multimodal-X,Round 6,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair07,Dialogue-Specific,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Multimodal-X,Round 1,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair08,Dialogue-Specific,0.1121014964216005,0.1158205619412515,0.0949776277362484,0.2214765100671141,0.2214765100671141,0.2214765100671141,0.2214765100671141
Multimodal-X,Round 2,Reference Resolution,"[300, 150]",100.0,32.0,0.0001,pair08,Dialogue-Specific,0.0844381313131313,0.0796875,0.0756330309901738,0.2083333333333333,0.2083333333333333,0.2083333333333333,0.2083333333333333
